strain_id,c_w,X13A,X36A,X06B,X33E,X34A,X43A,X36B,X39A,X27A,X29A,X07B,X06A,net_delta,avg_delta,clade,c_r
02A,0.0263,0.18430000000000002,0.0789,0.052599999999999994,0.18430000000000002,-1.0263,-1.0263,0.18430000000000002,0.1052,0.18430000000000002,0.1315,0.052599999999999994,0.052599999999999994,-0.8419999999999999,-0.07016666666666665,Psyr,0.8462
03A,0.6316,-0.05260000000000009,-0.07900000000000007,-0.07900000000000007,-0.05260000000000009,-0.05260000000000009,-0.07900000000000007,-0.05260000000000009,-0.07900000000000007,-0.05260000000000009,-0.07900000000000007,-0.07900000000000007,-0.07900000000000007,-0.816000000000001,-0.06800000000000007,Pflu,1
06A,0.7369,-0.02629999999999999,-0.05259999999999998,-0.05259999999999998,-0.02629999999999999,-0.02629999999999999,-0.05259999999999998,-0.02629999999999999,-0.05259999999999998,-0.02629999999999999,-0.05259999999999998,-0.05259999999999998,-0.05259999999999998,-0.4996999999999998,-0.04164166666666665,Pflu,1
06B,0.3553,0.03939999999999999,0.03939999999999999,0.0131,0.03939999999999999,-1.3553,0.09199999999999997,0.03939999999999999,0.03939999999999999,0.03939999999999999,0.03939999999999999,0.0131,0.0131,-0.9482,-0.07901666666666667,Pflu,0.9167
06C,-0.1316,0.1842,0.0527,0,0.1842,-0.8684000000000001,-0.8684000000000001,0.1842,0.10529999999999999,0.1842,0.2105,0,0,-0.6315000000000002,-0.05262500000000001,Psyr,0.8462
07A,-0.0395,0.2237,0.0658,0.0395,0.2237,-0.9605,-0.9605,0.2237,0.1711,0.2237,0.1711,0.0395,0.0395,-0.4997,-0.04164166666666667,Psyr,0.8462
07B,0.2894,0.052700000000000025,0.026400000000000035,0.026400000000000035,0.052700000000000025,0.1316,-1.2894,0.052700000000000025,0.026400000000000035,0.052700000000000025,0.026400000000000035,0.026400000000000035,0.026400000000000035,-0.7885999999999997,-0.06571666666666665,Pflu,0.9167
08A,-0.1316,0.1842,0.026399999999999993,9.999999999998899e-5,0.1842,-0.8684000000000001,-0.8684000000000001,0.1842,0.10529999999999999,0.1842,-0.8684000000000001,9.999999999998899e-5,9.999999999998899e-5,-1.7364000000000002,-0.14470000000000002,Psyr,0.7692
08B,0.2895,-1.2894999999999999,0.052600000000000036,0.052600000000000036,-1.2894999999999999,-1.2894999999999999,0.18420000000000003,-1.2894999999999999,0.052600000000000036,-1.2894999999999999,0.052600000000000036,0.052600000000000036,0.052600000000000036,-5.947699999999999,-0.4956416666666666,Psyr,0.6154
08C,-0.6052,-0.39480000000000004,0.18409999999999999,0.02629999999999999,-0.39480000000000004,-0.39480000000000004,0.5788,-0.39480000000000004,0.21039999999999998,-0.39480000000000004,0.5526,0.02629999999999999,0.05259999999999998,-0.3429000000000003,-0.028575000000000027,Psyr,0.6154
10A,-0.421,0.1315,0,-0.13169999999999998,0.1315,-0.579,0.47359999999999997,0.1315,0.02629999999999999,0.1578,-0.579,-0.13169999999999998,-0.579,-0.9481999999999999,-0.07901666666666667,Psyr,0.7692
13A,0.7632,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.3155999999999999,-0.02629999999999999,Pflu,1
14B,-0.1973,0.1447,-0.8027,-0.06589999999999999,0.1447,0.5657,0.4868,0.1447,0.0658,0.1447,-0.8027,-0.06589999999999999,-0.06589999999999999,-0.10599999999999993,-0.008833333333333327,Psyr,0.8462
16A,-0.1316,-0.8684000000000001,-0.8684000000000001,0,-0.8684000000000001,-0.8684000000000001,0.4211,-0.8684000000000001,0.07899999999999999,-0.8684000000000001,-0.8684000000000001,0,0,-5.5787,-0.4648916666666667,Psyr,0.4615
17A,-0.5263,0.21049999999999996,0.1053,-0.05269999999999997,0.21049999999999996,-0.4737,0.5526,0.21049999999999996,0.07900000000000001,0.2368,-0.4737,-0.05269999999999997,-0.05269999999999997,0.4997,0.04164166666666667,Psyr,0.8462
19A,-0.1842,-0.8158,-0.8158,0.02629999999999999,-0.8158,-0.8158,-0.8158,-0.8158,-0.8158,-0.8158,-0.8158,0.02629999999999999,0.05260000000000001,-7.237,-0.6030833333333333,Psyr,0.3077
20A,-0.8553,0.3026,0.14479999999999993,0.03949999999999998,-0.14470000000000005,-0.14470000000000005,0.5921,-0.14470000000000005,0.17109999999999992,0.35529999999999995,-0.14470000000000005,0.0131,0.03949999999999998,1.0791999999999995,0.0899333333333333,Psyr,0.6923
20B,-0.4211,0.23689999999999997,0.10529999999999995,-0.052600000000000036,0.23689999999999997,0.6579999999999999,0.47369999999999995,0.23689999999999997,0.10529999999999995,0.2895,0.34219999999999995,-0.026300000000000046,-0.026300000000000046,2.5794999999999995,0.21495833333333328,Psyr,1
21A,-0.4737,0.31579999999999997,0.1053,0,0.3421,-0.5263,0.5264,0.3421,0.18430000000000002,0.3684,0.3422,0,0,2.0003,0.16669166666666668,Psyr,0.9231
21B,-0.4078,0.2236,0.06569999999999998,-0.0922,0.2236,0.6973,0.4867,0.2236,0.09199999999999997,-0.5922000000000001,0.3026,-0.0922,-0.06590000000000001,1.4726,0.12271666666666665,Psyr,0.9231
22B,-0.2632,0.31579999999999997,0.15799999999999997,0.07899999999999999,0.31579999999999997,-0.7368,-0.7368,0.31579999999999997,0.21059999999999998,0.34209999999999996,0.31579999999999997,0.07899999999999999,0.07899999999999999,0.7372999999999997,0.061441666666666644,Psyr,0.8462
22C,-0.3158,0.23690000000000003,0.13160000000000002,0.026400000000000035,0.26320000000000005,-0.6841999999999999,-0.6841999999999999,0.26320000000000005,0.13160000000000002,0.26320000000000005,-0.6841999999999999,0,0,-0.7364999999999995,-0.06137499999999996,Psyr,0.7692
22D,-0.0263,-0.9737,0.1316,0.079,-0.9737,-0.9737,-0.9737,-0.9737,-0.9737,-0.9737,-0.9737,0.079,0.079,-7.421,-0.6184166666666667,Psyr,0.3846
23A,-0.6842,-0.31579999999999997,0.15790000000000004,0.02629999999999999,-0.31579999999999997,-0.31579999999999997,0.6052000000000001,-0.31579999999999997,-0.31579999999999997,-0.31579999999999997,0.5263,0.02629999999999999,0.02629999999999999,-0.5264999999999997,-0.043874999999999977,Psyr,0.5385
24C,-0.5658,0.40789999999999993,0.19739999999999996,0.09209999999999996,0.4342,-0.43420000000000003,0.6711,0.4342,0.2764,0.40789999999999993,0.43429999999999996,0.09209999999999996,0.09209999999999996,3.1054999999999997,0.25879166666666664,Psyr,0.9231
26B,-0,-1,0.1315,0.1052,-1,-1,-1,-1,-1,-1,-1,0.1052,0.1052,-7.5529,-0.6294083333333333,Psyr,0.3077
27A,0.8815,0.06590000000000007,0.06590000000000007,0.06590000000000007,0.06590000000000007,0.06590000000000007,0.06590000000000007,0.06590000000000007,0.06590000000000007,0.06590000000000007,0.06590000000000007,0.06590000000000007,0.06590000000000007,0.7908000000000008,0.06590000000000007,Pflu,1
29A,0.7632,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.02629999999999999,-0.3155999999999999,-0.02629999999999999,Pflu,1
33E,0.75,0.01319999999999999,0.01319999999999999,0.01319999999999999,0.01319999999999999,0.01319999999999999,0.01319999999999999,0.01319999999999999,0.01319999999999999,0.01319999999999999,0.01319999999999999,0.01319999999999999,0.01319999999999999,0.15839999999999987,0.01319999999999999,Pflu,1
34A,0.8553,0.09210000000000007,0.09210000000000007,0.09210000000000007,0.09210000000000007,0.09210000000000007,0.09210000000000007,0.09210000000000007,0.09210000000000007,0.09210000000000007,0.09210000000000007,0.09210000000000007,0.09210000000000007,1.1052000000000008,0.09210000000000007,Pflu,1
36A,0.3948,0.02629999999999999,0,0,0.052600000000000036,0.10520000000000002,-1.3948,0.052600000000000036,0.02629999999999999,0.02629999999999999,0.052600000000000036,0,-0.02629999999999999,-1.0792,-0.08993333333333332,Pflu,0.9167
36B,0.75,-0.03939999999999999,-0.03939999999999999,-0.03939999999999999,-0.03939999999999999,-0.03939999999999999,-0.03939999999999999,-0.03939999999999999,-0.03939999999999999,-0.03939999999999999,-0.03939999999999999,-0.03939999999999999,-0.03939999999999999,-0.4727999999999999,-0.03939999999999999,Pflu,1
39A,0.75,-0.03949999999999998,-0.03949999999999998,-0.03949999999999998,-0.03949999999999998,-0.03949999999999998,-0.0131,-0.03949999999999998,-0.03949999999999998,-0.03949999999999998,-0.03949999999999998,-0.03949999999999998,-0.03949999999999998,-0.4475999999999998,-0.03729999999999998,Pflu,1
39C,-0.6184,0.19729999999999998,0.06579999999999997,-0.06580000000000008,0.22369999999999995,0.8289,0.5130999999999999,0.22369999999999995,0.09209999999999996,0.24999999999999994,-0.38160000000000005,-0.09220000000000006,-0.03950000000000009,1.8154999999999992,0.1512916666666666,Psyr,0.9231
39F,-0.7237,0.3816,0.2237,-0.2763,-0.2763,-0.2763,0.6184000000000001,-0.2763,0.25,0.4343,-0.2763,0.06579999999999997,0.09209999999999996,0.6844000000000001,0.057033333333333346,Psyr,0.6154
4326,-0.7763,-0.2237,-0.2237,0.03939999999999999,-0.2237,-0.2237,0.6184,-0.2237,-0.2237,-0.2237,-0.2237,-0.2237,0.06579999999999997,-1.2897000000000003,-0.10747500000000003,Psyr,0.2308
43A,0.6842,0.05269999999999997,0.05269999999999997,0.05269999999999997,0.05269999999999997,0.05269999999999997,0.05269999999999997,0.05269999999999997,0.05269999999999997,0.05269999999999997,0.05269999999999997,0.05269999999999997,0.05269999999999997,0.6323999999999996,0.05269999999999997,Pflu,1
46A,0.3684,0,0,0,0,-1.3684,-1.3684,0,0,0,0,0,0,-2.7368,-0.22806666666666667,Pflu,0.8333
46B,-0.7894,0.3947,0.18410000000000004,0.05259999999999998,0.47359999999999997,1.0263,0.6315,0.47359999999999997,0.2368,0.421,0.5262,0.0262,0.02629999999999999,4.4729,0.3727416666666667,Psyr,1
